Positions,P-Value
214,2.3090393200513996e-20
215,1.7805734156286817e-17
216,8.295817431306624e-18
217,1.0959150878347064e-15
218,3.724959916529444e-15
219,2.63693646155124e-16
220,6.216236036288428e-17
221,1.0201077175100639e-16
222,1.540084257262218e-19
223,3.252489289090281e-17
224,1.1813308291805383e-21
225,9.220586774339272e-15
226,7.277146588584843e-18
227,4.757224459050024e-18
228,1.2148172090640376e-15
229,5.868817119149334e-17
230,1.6717156616916914e-15
231,1.0898961994091759e-24
232,2.4304065444713238e-15
233,2.244239965515887e-15
234,7.276833676609324e-17
235,2.586447724701981e-15
236,1.2170070055603965e-15
237,4.501182427448854e-15
238,1.9045547667890072e-14
239,3.896395828148606e-14
240,4.644565522162278e-18
241,1.2098728375096487e-15
242,1.986162452326936e-16
243,4.776878816531465e-13
244,2.740475672388862e-14
245,7.289400365988343e-14
246,8.816235587998821e-13
247,4.422444182128315e-13
248,6.685450559117763e-14
249,1.165617505493035e-14
250,2.0946873639894287e-12
251,1.62629129939219e-14
252,1.805427769181328e-12
253,2.2420420186916743e-14
254,3.092518997367408e-13
255,3.1756224493614064e-13
256,3.90568225360973e-13
257,9.50988853360512e-10
258,1.8140868238264403e-10
259,8.643799118500633e-11
260,1.5002783063764458e-09
261,7.311483724223091e-12
262,1.7515066314194817e-12
263,1.0417856445915353e-10
264,3.405310351383259e-10
265,4.1520980471293676e-10
266,3.149222298191941e-19
267,2.219885619058914e-17
268,1.4526138189837525e-18
269,1.313647804420984e-17
270,2.31265577773933e-18
271,3.1767880594913373e-18
272,2.1691252462827537e-17
273,8.589961881130567e-19
274,2.251035535821868e-15
275,2.6819877771190813e-17
276,1.624581917866592e-18
277,2.1630285062089588e-17
278,2.6736817179446286e-17
279,7.925631411221991e-19
280,3.56935065703573e-18
281,2.3810763878712026e-19
282,1.0921223780654981e-19
283,2.999320435981348e-18
284,9.260273532789843e-19
285,6.030588397767651e-17
286,7.878353966047078e-19
287,2.774754696643591e-19
288,6.343725835245409e-18
289,4.8394705536847443e-17
290,4.8403868567586113e-20
291,6.443232387834876e-17
292,1.6590596614849475e-24
293,3.30241802843315e-21
294,5.1896493148032275e-20
295,4.985487076457291e-21
296,8.425919133102014e-21
297,1.2539935931038276e-20
298,1.670084962197672e-19
299,2.4398684733272854e-19
300,3.457105734717298e-18
301,1.0936327969984215e-20
302,5.643279095581427e-21
303,4.1825058572801664e-21
304,2.4134322270347615e-19
305,3.634437140465694e-21
306,4.861690739461668e-20
307,3.1331195307717807e-19
308,1.7039870570734255e-20
309,1.3139491096531772e-20
310,2.4502842604155022e-20
311,6.430869248712324e-19
312,2.959376426168929e-21
313,5.5341101144907214e-18
314,6.277592134041825e-21
315,1.5165722824079664e-19
316,9.166240350993103e-20
317,6.972692076529466e-20
318,1.5527129989143418e-21
319,1.9038865190241763e-21
320,7.108851412819697e-20
321,3.98793576597119e-24
322,7.374831427652173e-27
323,8.684904339870598e-30
324,1.0947352057565882e-31
325,1.3529009182369406e-27
326,1.2927410388805912e-32
327,3.4001811262752634e-33
328,3.092301332972514e-33
329,7.10324144032605e-36
330,4.3312474310933737e-35
331,1.9353623495772197e-35
332,6.695107570536515e-36
333,4.741816720483576e-38
334,7.083669031796085e-39
335,6.465125121490482e-34
336,2.4342943767460637e-34
337,7.713639158135142e-42
338,2.743568521520728e-45
339,1.3961709169724139e-46
340,4.5754251457278115e-46
341,2.3366556945542926e-46
342,1.724991460297007e-47
343,2.2262392349435952e-54
344,1.143177455955373e-55
345,5.318522973194595e-26
346,1.2119577389087623e-250
347,2.728813761211629e-24
348,2.9322630073958823e-27
349,2.387751986327624e-27
350,1.6710458461925492e-25
351,2.2428191188566366e-26
352,4.205156782713961e-28
353,2.2323111318632817e-26
354,2.08841348874483e-28
355,1.2795064261141091e-26
356,7.179363189860097e-28
357,2.2151236948078866e-28
358,3.553477522204127e-24
359,2.2151236948078866e-28
360,2.2151236948078866e-28
361,5.238362824489721e-27
362,1.689801641421383e-26
363,6.2215191229389e-28
364,1.055260087828304e-26
365,3.1078986233584868e-24
366,1.0099565096795588e-27
367,1.6707263762533038e-23
368,8.80125605001299e-28
369,4.768041518870638e-28
370,4.600961055017147e-25
371,1.664547070115424e-27
372,7.256603923729148e-25
373,3.3686528206727486e-26
374,4.090997406536504e-27
375,1.0788957314245196e-25
376,2.499421764407262e-102
377,1.6899488561365907e-26
378,6.125442410037841e-26
379,3.845281526583034e-25
380,3.536695518494519e-24
381,1.2133110792675061e-26
382,2.1631524045765577e-34
383,1.2133110792675061e-26
384,1.565107886092986e-25
385,1.1745524580658687e-26
386,1.832019281364122e-21
387,2.997371149867376e-23
388,9.941897711583791e-23
389,1.3687509800234063e-21
390,3.8237637871635546e-22
391,5.728852647869484e-21
392,2.302444954992974e-21
393,8.67952005608502e-21
394,1.4422922734378342e-22
395,2.2379694370670377e-22
396,2.4621952795427884e-22
397,4.785763947271932e-22
398,1.0221093123641097e-22
399,3.5161806801601806e-20
400,2.5050056296713224e-21
401,1.3156989616932735e-21
402,2.2907483634370304e-21
403,2.257615490525386e-19
404,1.009672986997254e-20
405,2.1678337101571712e-29
406,5.319390224227265e-21
407,6.391346761490617e-26
408,1.5537889637489827e-22
409,1.0495526236269792e-21
410,2.9172221359658365e-23
411,1.515490448082353e-21
412,1.0753359667776084e-22
413,1.9875982432635914e-24
414,3.1113358140772612e-24
415,3.1113358140772612e-24
416,6.365628578404967e-24
417,1.7888603262107503e-23
418,5.880412519155308e-22
419,2.4315006239446757e-17
420,1.44804177272847e-16
421,8.218568631760457e-20
422,9.982522731598992e-19
423,7.091681390319426e-19
424,1.41680449426853e-18
425,7.370935768987357e-16
426,8.717242115469195e-20
427,6.943821875380066e-20
428,2.0926767834931033e-18
429,1.51377979572914e-18
430,3.834772673382237e-18
431,2.234146609030389e-18
432,1.994355405226562e-18
433,5.69998144373468e-20
434,7.127577616868154e-20
435,4.1600826159448455e-34
436,5.69998144373468e-20
437,1.1167808945065923e-19
438,4.1791263297032444e-19
439,1.1811861898699146e-27
440,9.180146068045014e-18
441,3.906544063321978e-18
442,1.7875712785583456e-16
443,6.370372659058515e-17
444,4.559654614706333e-12
445,9.493493366985268e-13
446,1.0463841732300634e-13
447,6.998639050340449e-14
448,4.186750447450543e-12
449,2.6800453156075253e-14
450,6.876455031602899e-12
451,2.0488633219978666e-13
452,4.1110878845792736e-13
453,7.61814219478093e-12
454,5.014010430576513e-15
455,1.2228643162051907e-13
456,4.342091340078344e-17
457,2.972664687177927e-14
458,8.688098472559488e-14
459,5.452221650097601e-13
460,4.6023131799000045e-12
461,4.2229901521715963e-13
462,2.6404945280291855e-12
463,9.40002141365066e-19
464,1.1242844742717343e-13
465,4.602313179899936e-12
466,3.4775062274440417e-12
467,2.0185724519152374e-13
468,1.3240199570827661e-12
469,6.869636774563802e-12
470,1.4388723659598007e-13
471,2.1785662190125961e-13
472,1.084595481035021e-11
473,9.243520689764037e-14
474,1.1073827596973189e-12
475,1.6913678573760394e-17
476,3.747479363737951e-12
477,1.3958625878271857e-11
478,2.2138174041583978e-11
479,1.399644442085701e-11
480,3.5155322067943534e-12
481,3.04639865672559e-11
482,2.3414502508562904e-11
483,5.80330979041877e-11
484,1.537552810796194e-10
485,1.830390008391743e-12
486,1.830390008391743e-12
487,5.858321310262709e-11
488,1.6320553031783682e-11
489,4.716114458984859e-11
490,1.1666168042033398e-10
491,1.1230338256859445e-09
492,1.3609504763096266e-10
493,6.592080088630362e-11
494,6.652757663768467e-11
495,3.8317495973779905e-11
496,1.090298267951991e-11
497,9.532995571854635e-58
498,4.157874025088329e-10
499,2.1039930112267758e-11
500,5.639103234574641e-11
501,1.1205305125712176e-13
502,2.7898691730369146e-12
503,2.2444864846976022e-11
504,2.495816540241921e-10
505,3.4983926685608036e-08
506,1.9455248527344983e-10
507,5.3494475566695104e-11
508,8.779911940648431e-20
509,2.4169398076515525e-20
510,7.692974344230479e-33
511,1.7057426221555742e-34
512,1.8513306805219383e-34
513,7.537077589088132e-51
514,2.7875108761584957e-34
515,3.402833930725922e-49
516,5.27085648032849e-49
517,5.672215298652605e-52
518,2.2138145237812768e-58
519,1.8318305761160268e-43
520,3.476245309971905e-44
521,6.414679097055986e-23
522,2.7363672345423446e-23
523,3.627602783277308e-15
524,6.031703901524275e-14
525,1.1039946340767182e-12
526,9.236795483240754e-81
527,9.34007315908353e-09
528,1.8418905124393576e-11
529,1.1984107584604683e-09
530,9.907235588516196e-11
531,1.0266958434611302e-11
532,1.832885589431919e-17
533,5.886327592636603e-11
534,9.354153187270807e-11
535,3.681386799189861e-11
536,6.9017199577025275e-12
537,6.9017199577025275e-12
538,8.055150829544602e-12
539,3.793863537232856e-11
540,3.154102761730641e-11
541,2.0414757139561625e-12
542,6.993004625370388e-10
543,5.31989029391643e-10
544,5.783167767668016e-11
545,7.111658370561264e-09
546,1.2837102011418074e-10
547,4.63498353771978e-10
548,1.0838364127682302e-12
549,1.1208762501613553e-10
550,3.4580133080418395e-17
551,1.0024380169883819e-11
552,7.45854039618974e-12
553,9.32083565597712e-12
554,8.984995100822373e-12
555,8.98499510082244e-12
556,2.9074561322874937e-09
557,1.7916759954063246e-10
558,2.1133003029009858e-11
559,4.89163213349085e-16
560,3.537998420289122e-12
561,9.35630790246926e-12
562,3.8406635495751615e-10
563,3.654707991601702e-11
564,8.563652628966994e-16
565,1.3288275552455327e-11
566,2.2912902296468307e-11
567,1.4095847422673029e-11
568,6.539538162690657e-12
569,2.0083380167322515e-10
570,3.983651361979072e-12
571,1.0988162154104956e-12
572,1.1293522458789112e-11
573,1.091148233712145e-10
574,1.1681818951088068e-12
575,1.458402744630988e-13
576,2.1463375379851104e-12
577,1.945849701815454e-11
578,1.2888804351492738e-12
579,1.2044469583804424e-11
580,7.001525187005341e-12
581,4.840818109230355e-11
582,2.3080415496968395e-12
583,5.202682689607986e-10
584,1.9029151311880037e-09
585,1.908152834887103e-12
586,6.249282232936698e-11
587,6.298867432223074e-11
588,4.5965877566884466e-11
589,1.7746833284007216e-09
590,1.2183121794232437e-10
591,8.111189171472647e-12
592,2.556528102045587e-62
593,1.060069313253587e-10
594,3.52430087808883e-10
595,9.531425566307533e-10
596,1.7244074162585233e-09
597,1.6131584286170629e-10
598,1.0279348208147731e-14
599,9.52854713132011e-11
600,1.6732840166985914e-11
601,1.274706792842931e-09
602,1.6191103341507158e-09
603,1.395972615961569e-09
604,2.764265606836991e-09
605,1.6881303119605306e-10
606,6.162039594214195e-10
607,1.8137392814857235e-10
608,1.17092261541007e-10
609,7.170486844814261e-11
610,3.014037345421754e-13
611,3.961057237582959e-09
612,3.948631710213901e-10
613,5.357673386647452e-11
614,8.916762238134335e-08
615,1.2995851222743205e-08
616,1.0047593886071863e-08
617,8.579578146963968e-09
618,3.7744673257061894e-10
619,6.097542232303531e-09
620,1.3437830256719063e-08
621,6.228459714616505e-09
622,1.4246228187461786e-09
623,8.574666725635219e-11
624,1.6132615051902636e-09
625,1.12195661856053e-08
626,4.463918790483721e-09
627,4.83871989452779e-10
628,5.059358859622086e-09
629,7.243249363726046e-10
630,2.6043104359189973e-08
631,4.444025135774342e-09
632,1.535068593452207e-08
633,6.536073504425042e-09
634,8.91624061031696e-09
635,3.1209183178262855e-09
636,1.8422435137124155e-10
637,2.4397476666897314e-12
638,3.7147028747449725e-10
639,2.1287602885077698e-11
640,5.684176541226647e-10
641,9.480676731177992e-10
642,7.992913191974814e-10
643,7.46950520978063e-08
644,8.406900257855634e-09
645,8.406900257855634e-09
646,1.0655915624484671e-08
647,1.601523497841183e-08
648,8.603527833845146e-09
649,8.20825368137598e-09
650,7.925793008714659e-08
651,3.9226799997335034e-09
652,9.562818141810431e-08
653,4.251119699763589e-09
654,1.8075693750708543e-08
655,1.3284943744759467e-09
656,4.674966950616877e-09
657,8.65383379001319e-09
658,9.946892438854057e-09
659,1.422301166734384e-08
660,1.7235895813069506e-08
661,6.918128508713425e-12
662,2.417343475066736e-08
663,1.6884410087844122e-08
664,9.135740756035252e-76
665,3.6538886215233393e-09
666,1.390245525437243e-08
667,1.2774753425232354e-09
668,3.763122800094622e-09
669,2.684140962710613e-08
670,0.0
671,3.786569532768274e-09
672,4.6830600145978276e-08
673,2.7688135690132484e-09
674,3.763122800094622e-09
675,8.285383285657837e-08
676,1.9968279407579698e-07
677,1.1644528378318744e-08
678,6.207566336083581e-13
679,1.3494960003892145e-12
680,2.577427918219666e-07
681,5.9811711029913124e-09
682,2.6566227031234736e-09
683,1.77594879478829e-06
684,5.3325472169359425e-09
685,2.8595503962556e-09
686,1.9204121542614584e-19
687,9.683030826426223e-18
688,1.7948575742700936e-17
689,3.0980821288225235e-17
690,2.175265318367808e-18
691,9.312064156676049e-22
692,1.2533216125157554e-19
693,5.086226390117462e-18
694,1.681064728826332e-19
695,1.5785809310412372e-16
696,2.2093435360886068e-09
697,1.5108384084041294e-08
698,1.299908394925579e-09
699,1.299908394925579e-09
700,1.3280576330712184e-08
701,2.5641518442132823e-07
702,1.0208205611115002e-06
703,1.0525503981595346e-07
704,9.541887000265759e-10
705,8.486824023052318e-15
706,3.03947658863742e-14
707,1.1259337083868679e-15
708,8.24064727562783e-16
709,1.0651537491613705e-13
710,1.414991880322913e-14
711,1.7332632394971122e-14
712,3.30048848499132e-14
713,8.375476597376659e-29
714,1.9753558713731655e-17
715,2.974283675975483e-15
716,1.2140151341777614e-16
717,9.914674196296396e-15
718,5.1517120188859255e-15
719,2.2752431858749978e-18
720,9.959654091560867e-18
721,6.905883651565006e-17
722,5.875433077856986e-17
723,6.446182519846625e-18
724,1.1393597036098156e-15
725,2.4177189546404098e-17
726,1.0172251146293607e-16
727,2.18811640695766e-16
728,3.1007446861781838e-15
729,1.0328379604068343e-15
730,1.7571312500994007e-14
731,8.867891188705398e-15
732,4.380038691644541e-15
733,0.0
734,4.3800386916445094e-15
735,1.0328379604068266e-15
736,1.7571312500994007e-14
737,1.77603512796977e-14
738,1.4404905958370504e-15
739,2.7126467782481746e-16
740,5.657577098771714e-15
741,3.297224466836369e-14
742,3.682887809428574e-14
743,7.97253688194447e-13
744,4.198294283569126e-13
745,8.074765106027755e-41
746,5.913149581570824e-16
747,1.1143105403403289e-15
748,6.144767639215192e-16
749,2.8307720461000346e-16
750,6.144767639215192e-16
751,4.779155762920652e-15
752,7.840268156907353e-15
753,5.944100249495e-14
754,2.7590187467340344e-14
755,8.360762398409919e-16
756,8.360762398409919e-16
757,4.2987576093793986e-16
758,1.4317222768643067e-17
759,1.9359863233054084e-13
760,3.069350754815623e-14
761,1.7081316551309827e-14
762,2.188242108392583e-13
763,5.991443810424868e-15
764,3.069350754815623e-14
765,1.0954291774044891e-13
766,1.6928272001094373e-14
767,3.159978882838301e-12
768,7.866787179945656e-13
769,3.253666249620108e-14
770,1.152649212622821e-13
771,6.75239959431536e-13
772,3.912937183712694e-11
773,1.152649212622821e-13
774,2.134206373354691e-29
775,1.5266656127890201e-12
776,1.0219046471405573e-13
777,1.7654676291353128e-13
778,2.3436149206730893e-11
779,4.200711243991435e-11
780,2.512330578280321e-12
781,2.512330578280321e-12
782,2.512330578280321e-12
783,2.5123305782803394e-12
784,3.297261439827505e-11
785,3.3031532463617773e-12
786,1.1945986676768699e-12
787,2.0769372740295735e-11
788,6.436826982716105e-12
789,1.1945986676768657e-12
790,3.671500537638894e-12
791,7.503753510727917e-12
792,4.168229399096972e-12
793,1.2201490344381062e-12
794,7.808105742283419e-13
795,1.546482917451448e-14
796,2.220706764112577e-12
797,3.440262438165937e-14
798,3.440262438165937e-14
799,1.181345685310453e-13
800,8.314309077669698e-14
801,8.314309077669698e-14
802,1.0582082587163083e-12
803,1.6115089484713341e-15
804,5.3357305228094365e-14
805,1.094955550560493e-11
806,9.283321407364873e-12
807,6.030225870152478e-23
808,2.3685389149224886e-12
809,5.958964317949532e-13
810,2.326899049604872e-13
811,8.872458597429447e-12
812,3.1842797728881914e-12
813,4.966997172113634e-15
814,4.6698164117098994e-14
815,1.259092412870533e-13
816,2.1022465240799023e-13
817,7.483859221641274e-14
818,3.7631175517665494e-13
819,8.2991782863663e-13
820,6.4651722861475e-25
821,3.440262438165937e-14
822,3.440262438165963e-14
823,1.5465566137418214e-17
824,1.1690760980847719e-13
825,1.1690760980847719e-13
826,2.136256065008751e-21
827,1.2772861793646707e-12
828,5.4101095684605044e-14
829,7.653463963654863e-21
830,1.7839332810200375e-13
831,1.7839332810200375e-13
832,3.587073154603018e-13
833,6.046825060629592e-12
834,1.7839332810200375e-13
835,9.772381656848551e-14
836,1.7839332810200375e-13
837,1.1766072246636612e-12
838,1.919770861685577e-12
839,8.05698187624847e-12
840,3.4116218761543372e-12
841,3.015177877563271e-15
842,1.7598021431617408e-12
843,4.110261963576608e-13
844,8.056981876248559e-12
845,7.644209425186641e-14
846,2.2938133509220865e-14
847,8.500282876015702e-13
848,3.265303338149629e-14
849,3.265303338149629e-14
850,1.6462820431872754e-13
851,8.855694157407174e-13
852,3.265303338149629e-14
853,3.859884659405624e-13
854,5.054952964864942e-13
855,7.900089856789586e-13
856,1.87962896653451e-12
857,5.742878792557289e-12
858,7.697943459733836e-14
859,8.610526910035808e-13
860,2.4314864789607985e-13
861,1.105385747274426e-12
862,2.8465769788465374e-11
863,2.4314864789607985e-13
864,2.0710941661604603e-13
865,3.497424996957571e-13
866,1.4091678597193513e-12
867,7.040360347731307e-14
868,4.710482972684768e-13
869,2.319773412554394e-13
870,3.7506553891886325e-12
871,2.48531153775984e-12
872,2.4476607899791806e-67
873,5.014468424607143e-11
874,4.0337726839270444e-11
875,5.173772269320428e-12
876,4.752321850215538e-13
877,4.752321850215538e-13
878,8.566510688893776e-25
879,5.045635721072686e-13
880,2.899998862893937e-12
881,2.3427444047258256e-14
882,5.163598393705399e-12
883,7.369222887646867e-13
884,9.67976993740325e-17
885,1.451457046688742e-11
886,1.7778404028438017e-14
887,5.160892371743675e-15
888,2.2274486383456498e-12
889,1.1862350939449714e-13
890,2.7497876154512696e-13
891,5.149794046432683e-12
892,2.749787615451229e-13
893,8.627414424452436e-14
894,9.183419148848271e-13
895,2.3487155659457106e-11
896,2.361787328774923e-13
897,6.532178499213489e-14
898,4.2802742466116505e-13
899,2.675140684340948e-12
900,5.413384473959668e-14
901,5.792078250327695e-13
902,1.4978649086950198e-25
903,7.408029953856934e-14
904,8.649220100796603e-13
905,4.587912982499744e-16
906,7.656606240812423e-11
907,1.196776388450509e-13
908,6.797578772514347e-15
909,6.59592635059128e-15
910,1.972377744843887e-12
911,3.3002192867943154e-12
912,4.766695514600959e-15
913,0.0
914,6.797578772514295e-15
915,1.3360194553887897e-14
916,2.2693666384090973e-18
917,1.2763888555691937e-12
918,2.177395781447482e-12
919,2.4064877191540954e-11
920,2.6183341150386735e-10
921,9.09020861308744e-11
922,1.4535022128860688e-08
923,1.910614327832327e-10
924,1.4840984591880833e-10
925,1.420779499214873e-14
926,1.0999545490812248e-11
927,8.138597485090915e-12
928,1.0999545490812248e-11
929,1.0211400531030361e-10
930,2.3403676749629813e-11
931,5.4228006158438894e-11
932,2.5183111807690218e-11
933,1.891682287278272e-10
934,1.4976477178061117e-18
935,6.68169899759357e-11
936,1.43438469168432e-11
937,1.0058853534099713e-10
938,8.718141493609458e-11
939,4.081630305603737e-11
940,8.356446001174135e-11
941,6.681698997593522e-11
942,5.876304169380176e-13
943,2.9229977810628534e-10
944,2.348819845238828e-11
945,1.791517194071129e-11
946,7.405360159126631e-13
947,1.4370888768916235e-11
948,7.069998937374383e-14
949,2.453852689288799e-13
950,9.907233629994002e-15
951,2.9440349089244084e-15
952,1.0410756911027206e-15
953,3.9942569463331284e-17
954,1.9317325486354232e-14
955,2.785870687670231e-16
956,6.47223117253001e-17
957,9.626872060615896e-16
958,3.3806608281639498e-15
959,1.6653772123858851e-15
960,1.767187354558209e-15
961,1.582745283238214e-15
962,6.674600633973769e-16
963,1.4264022884376154e-16
964,2.06825364867764e-17
965,2.1524974930525914e-17
966,2.823134642445775e-13
967,6.143147439660338e-12
968,6.982803433754745e-13
969,6.982803433754745e-13
970,4.7943014500944915e-11
971,4.201957387908904e-10
972,8.500986836584268e-10
973,1.5975687489711541e-09
974,3.2140300254176413e-09
975,5.5020492905026954e-09
976,5.5020492905026954e-09
977,5.945433979917582e-08
978,4.5560284125555995e-08
979,4.287084148463246e-07
980,1.0084535074595975e-07
981,1.0084535074595975e-07
982,7.268397852545156e-14
983,1.2639088277260107e-07
984,1.2639088277260134e-07
985,1.6130025909700609e-07
986,9.454493406055596e-07
987,1.8712692767748965e-07
988,1.7868895678377546e-07
989,1.867913588785456e-07
990,8.884715651747781e-08
991,2.5340053793385093e-07
992,3.7180804830198026e-08
993,1.0782958882826013e-06
994,2.3428308103124465e-07
995,3.5206247589207103e-07
996,3.5206247589207103e-07
997,1.1121301343383889e-142
998,4.5148883845020484e-07
999,1.1456218132242153e-06
1000,1.3580131560601252e-06
1001,1.4530990677109328e-06
1002,2.4304861401357328e-06
1003,3.093405559791951e-07
1004,2.165964656708039e-07
1005,1.339076942161546e-09
1006,1.9433633729620878e-07
1007,4.0526050053633e-07
1008,3.727996787759567e-08
1009,3.633545679838295e-08
1010,1.0866286353615696e-07
1011,2.2334535642191035e-07
1012,3.661283822218188e-07
1013,3.0717380586201e-07
1014,8.844602709033474e-07
1015,1.8299408069352398e-06
1016,1.8651724516450652e-07
1017,2.882998197961337e-07
1018,4.383080205634379e-09
1019,3.1182107377787187e-10
1020,1.4674411656696945e-09
1021,3.8333535028188476e-09
1022,1.1927069073242904e-07
1023,1.063570362626268e-08
1024,8.566056189962367e-08
1025,6.370662055688388e-08
1026,1.1542770762445935e-08
1027,1.119367332062379e-08
1028,1.119367332062379e-08
1029,8.685051927787488e-09
1030,1.3224923113872181e-07
1031,1.3315441820917195e-08
1032,1.1326728016699739e-07
1033,2.718642251486154e-07
1034,1.2632205354154202e-06
1035,2.0130773924214775e-08
1036,4.257361851189077e-08
1037,3.432500110043191e-08
1038,1.6146305322593142e-08
1039,3.432500110043191e-08
1040,1.5823502954346008e-07
1041,3.4325001100431964e-08
1042,2.1183767846055692e-06
1043,1.5946936959856954e-07
1044,3.4929678434348674e-08
